Municipio;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
15 Coruña, A;1.119.351;1.120.294;1.122.799;1.127.196;1.132.735;1.138.161;1.143.911;1.147.124;1.146.458;1.145.488;1.139.121
15001 Abegondo;5.454;5.467;5.533;5.586;5.585;5.664;5.709;5.709;5.765;5.798;5.822
15002 Ames;31.278;30.835;30.544;30.267;29.975;29.689;29.331;28.852;27.900;26.983;25.818
15003 Aranga;1.894;1.935;1.982;1.997;2.033;2.051;2.072;2.113;2.126;2.142;2.181
15004 Ares;5.671;5.658;5.672;5.743;5.741;5.801;5.839;5.801;5.705;5.673;5.682
15005 Arteixo;31.917;31.534;31.239;30.950;30.857;31.005;30.725;30.482;30.255;29.762;28.961
15006 Arzúa;6.053;6.123;6.211;6.219;6.261;6.276;6.315;6.328;6.409;6.490;6.484
15007 Baña, A;3.505;3.541;3.645;3.698;3.754;3.849;3.967;4.102;4.320;4.415;4.528
15008 Bergondo;6.602;6.623;6.656;6.700;6.702;6.738;6.712;6.722;6.758;6.696;6.683
15009 Betanzos;12.916;12.941;12.966;13.202;13.352;13.445;13.565;13.537;13.673;13.680;13.522
15010 Boimorto;2.022;2.040;2.111;2.125;2.115;2.154;2.200;2.211;2.271;2.288;2.348
15011 Boiro;18.844;18.885;18.871;18.950;19.060;19.144;19.165;19.106;19.076;18.883;18.730
15012 Boqueixón;4.215;4.242;4.291;4.321;4.342;4.370;4.417;4.430;4.444;4.462;4.445
15013 Brión;7.748;7.699;7.590;7.564;7.519;7.435;7.369;7.462;7.347;7.205;7.104
15014 Cabana de Bergantiños;4.337;4.347;4.446;4.552;4.623;4.716;4.759;4.865;4.909;4.985;5.045
15015 Cabanas;3.318;3.314;3.259;3.299;3.294;3.287;3.299;3.346;3.375;3.336;3.287
15016 Camariñas;5.322;5.419;5.486;5.577;5.774;5.874;6.082;6.168;6.226;6.224;6.207
15017 Cambre;24.603;24.348;24.141;24.076;24.029;23.999;23.879;23.649;23.621;23.231;22.900
15018 Capela, A;1.238;1.274;1.318;1.334;1.356;1.366;1.376;1.386;1.399;1.417;1.439
15019 Carballo;31.261;31.195;31.256;31.283;31.288;31.366;31.358;31.303;31.149;30.990;30.653
15901 Cariño;3.945;4.004;4.072;4.167;4.241;4.337;4.373;4.474;4.530;4.590;4.617
15020 Carnota;4.031;4.060;4.170;4.284;4.376;4.504;4.605;4.834;4.904;4.938;4.958
15021 Carral;6.294;6.237;6.172;6.180;6.118;6.123;6.130;6.064;5.945;5.770;5.672
15022 Cedeira;6.794;6.888;6.997;7.062;7.147;7.246;7.254;7.338;7.412;7.465;7.511
15023 Cee;7.576;7.539;7.631;7.723;7.760;7.808;7.855;7.898;7.818;7.712;7.691
15024 Cerceda;5.023;4.992;5.031;5.076;5.156;5.265;5.318;5.392;5.486;5.570;5.597
15025 Cerdido;1.126;1.170;1.191;1.233;1.249;1.258;1.312;1.328;1.361;1.359;1.384
15026 Cesuras;;;;;;2.131;2.174;2.225;2.209;2.219;2.274
15027 Coirós;1.824;1.801;1.789;1.757;1.747;1.751;1.765;1.771;1.722;1.713;1.713
15028 Corcubión;1.578;1.592;1.606;1.655;1.672;1.654;1.731;1.767;1.803;1.815;1.822
15029 Coristanco;6.177;6.313;6.426;6.551;6.706;6.875;6.974;7.102;7.165;7.285;7.376
15030 Coruña, A;244.850;244.099;243.978;243.870;244.810;245.923;246.146;246.028;246.047;246.056;245.164
15031 Culleredo;30.221;29.982;29.638;29.593;29.434;29.415;29.416;29.207;28.737;28.227;27.670
15032 Curtis;3.958;3.968;3.980;4.015;4.048;4.112;4.159;4.214;4.228;4.246;4.245
15033 Dodro;2.791;2.832;2.853;2.882;2.913;2.934;2.977;2.980;3.017;3.029;3.024
15034 Dumbría;3.040;3.053;3.085;3.077;3.137;3.216;3.291;3.652;3.705;3.751;3.820
15035 Fene;13.013;13.110;13.250;13.385;13.498;13.639;13.780;13.902;14.092;14.165;14.169
15036 Ferrol;66.799;67.569;68.308;69.452;70.389;71.232;71.997;72.963;73.638;74.273;74.696
15037 Fisterra;4.701;4.734;4.737;4.775;4.824;4.907;4.990;4.983;4.995;5.005;4.959
