,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
0,58,18,2016-01-01,00,11,10:50,13:10,23:59,1387,A CORUA,"7,0","1012,5","998,3",A CORUA,"19,4","1,8","15,3","12,4","9,4","5,8"
1,58,22,2016-01-02,11,24,01:20,14:30,06:20,1387,A CORUA,"2,2","1014,3","1006,2",A CORUA,"13,6","5,7","14,0","11,2","8,4","4,2"
2,58,25,2016-01-03,00,13,13:20,Varias,00:00,1387,A CORUA,"12,0","1006,2","996,9",A CORUA,"19,2","0,0","15,6","14,0","12,3","5,8"
3,58,29,2016-01-04,Varias,14,15:00,00:00,23:40,1387,A CORUA,"11,2","999,9","994,5",A CORUA,"17,8","0,0","13,0","11,0","9,1","6,7"
4,58,99,2016-01-05,23,06,Varias,13:50,11:00,1387,A CORUA,"7,6","1006,2","998,6",A CORUA,"21,4","1,9","11,2","9,5","7,8","10,8"
5,58,24,2016-01-06,03,14,16:40,Varias,02:50,1387,A CORUA,"11,2","1006,5","997,5",A CORUA,"19,2","0,0","15,0","12,0","9,0","6,4"
6,58,24,2016-01-07,11,24,02:20,02:40,17:10,1387,A CORUA,"95,0","1001,4","995,0",A CORUA,"20,3","0,0","15,9","13,9","11,9","5,8"
7,58,22,2016-01-08,22,01,01:30,01:20,Varias,1387,A CORUA,"7,6","998,7","993,5",A CORUA,"18,1","0,3","16,2","13,0","9,7","3,6"
8,58,21,2016-01-09,00,13,10:50,10:00,00:20,1387,A CORUA,"21,8","998,2","990,9",A CORUA,"23,3","0,4","13,4","11,8","10,1","6,4"
9,58,26,2016-01-10,00,Varias,23:50,11:00,14:20,1387,A CORUA,"12,4","993,2","987,8",A CORUA,"21,7","0,0","12,4","11,2","9,9","5,8"
10,58,24,2016-01-11,Varias,01,00:00,13:20,04:30,1387,A CORUA,"10,0","1010,4","990,8",A CORUA,"21,1","3,1","13,2","11,1","9,0","7,5"
11,58,24,2016-01-12,20,00,06:30,13:50,Varias,1387,A CORUA,Ip,"1018,5","1010,4",A CORUA,"13,3","4,8","12,4","9,8","7,2","3,9"
12,58,17,2016-01-13,00,24,12:50,23:40,02:00,1387,A CORUA,"27,4","1018,4","1004,0",A CORUA,"16,7","0,1","14,9","10,8","6,7","4,2"
13,58,26,2016-01-14,24,00,00:30,00:00,22:30,1387,A CORUA,"1,2","1019,3","1004,6",A CORUA,"14,7","1,0","14,8","11,6","8,4","6,4"
14,58,02,2016-01-15,21,01,01:20,13:50,23:30,1387,A CORUA,"0,0","1027,7","1019,1",A CORUA,"11,4","5,8","11,8","8,8","5,8","2,5"
15,58,14,2016-01-16,00,24,10:30,14:40,07:40,1387,A CORUA,"0,0","1027,4","1021,2",A CORUA,"6,4","8,3","12,2","8,0","3,7","1,7"
16,58,18,2016-01-17,00,18,19:40,23:59,01:10,1387,A CORUA,"11,0","1021,3","1009,4",A CORUA,"15,3","0,2","11,3","9,8","8,2","3,3"
17,58,30,2016-01-18,22,04,08:20,14:00,09:40,1387,A CORUA,"2,4","1012,0","1008,6",A CORUA,"20,3","2,6","12,4","10,9","9,4","5,8"
18,58,17,2016-01-19,00,22,14:50,14:20,08:40,1387,A CORUA,"0,0","1011,8","1005,8",A CORUA,"8,9","3,3","13,2","10,9","8,6","2,5"
19,58,15,2016-01-20,20,04,22:30,13:00,08:40,1387,A CORUA,"0,6","1008,2","1004,9",A CORUA,"8,3","4,1","16,6","13,1","9,6","3,1"
20,58,19,2016-01-21,24,02,14:10,14:40,03:30,1387,A CORUA,"0,8","1013,5","1007,3",A CORUA,"11,4","2,4","18,0","15,1","12,2","2,8"
21,58,21,2016-01-22,24,02,05:20,13:20,18:40,1387,A CORUA,"8,8","1021,2","1013,0",A CORUA,"9,7","0,0","17,1","15,6","14,2","3,3"
