Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
01/01/2016;95;43,31748953;-8,47923782;1,169;0,05074742;ES4;1;enero;2016;Viernes;Año Nuevo
01/01/2016;GOA;43,31748953;-8,47923782;1,009;0,186169968;ES4;1;enero;2016;Viernes;Año Nuevo
02/01/2016;95;43,31748953;-8,47923782;1,169;0,173695862;ES4;2;enero;2016;Sabado;
02/01/2016;GOA;43,31748953;-8,47923782;1,009;0,4597959;ES4;2;enero;2016;Sabado;
03/01/2016;95;43,31748953;-8,47923782;1,169;0,13236665;ES4;3;enero;2016;Domingo;
03/01/2016;GOA;43,31748953;-8,47923782;1,009;0,351596966;ES4;3;enero;2016;Domingo;
04/01/2016;95;43,31748953;-8,47923782;1,169;0,134322928;ES4;4;enero;2016;Lunes;
04/01/2016;GOA;43,31748953;-8,47923782;1,009;0,48498141;ES4;4;enero;2016;Lunes;
05/01/2016;95;43,31748953;-8,47923782;1,159;0,132510161;ES4;5;enero;2016;Martes;
05/01/2016;GOA;43,31748953;-8,47923782;1,009;0,451261416;ES4;5;enero;2016;Martes;
06/01/2016;95;43,31748953;-8,47923782;1,179;0,130620602;ES4;6;enero;2016;Miercoles;Epifanía del Señor
06/01/2016;GOA;43,31748953;-8,47923782;1,009;0,338876122;ES4;6;enero;2016;Miercoles;Epifanía del Señor
07/01/2016;95;43,31748953;-8,47923782;1,179;0,121352828;ES4;7;enero;2016;Jueves;
07/01/2016;GOA;43,31748953;-8,47923782;1,009;0,526476162;ES4;7;enero;2016;Jueves;
08/01/2016;95;43,31748953;-8,47923782;1,169;0,153876899;ES4;8;enero;2016;Viernes;
08/01/2016;GOA;43,31748953;-8,47923782;0,999;0,572852169;ES4;8;enero;2016;Viernes;
09/01/2016;95;43,31748953;-8,47923782;1,159;0,176124844;ES4;9;enero;2016;Sabado;
09/01/2016;GOA;43,31748953;-8,47923782;0,999;0,50645704;ES4;9;enero;2016;Sabado;
10/01/2016;95;43,31748953;-8,47923782;1,159;0,147145741;ES4;10;enero;2016;Domingo;
10/01/2016;GOA;43,31748953;-8,47923782;0,999;0,370884687;ES4;10;enero;2016;Domingo;
11/01/2016;95;43,31748953;-8,47923782;1,159;0,159828819;ES4;11;enero;2016;Lunes;
11/01/2016;GOA;43,31748953;-8,47923782;0,999;0,61285076;ES4;11;enero;2016;Lunes;
12/01/2016;95;43,31748953;-8,47923782;1,149;0,215222715;ES4;12;enero;2016;Martes;
12/01/2016;GOA;43,31748953;-8,47923782;0,989;1;ES4;12;enero;2016;Martes;
13/01/2016;95;43,31748953;-8,47923782;1,139;0,139713394;ES4;13;enero;2016;Miercoles;
13/01/2016;GOA;43,31748953;-8,47923782;0,979;0,632806309;ES4;13;enero;2016;Miercoles;
14/01/2016;95;43,31748953;-8,47923782;1,139;0,137209509;ES4;14;enero;2016;Jueves;
14/01/2016;GOA;43,31748953;-8,47923782;0,979;0,438670234;ES4;14;enero;2016;Jueves;
15/01/2016;95;43,31748953;-8,47923782;1,139;0,141601693;ES4;15;enero;2016;Viernes;
15/01/2016;GOA;43,31748953;-8,47923782;0,969;0,708569922;ES4;15;enero;2016;Viernes;
